Date,GBP to EUR,BTC to GBP
2019-10-01,1.1269999742507935,6787.8896484375
2019-10-02,1.1239900588989258,6821.67138671875
2019-10-03,1.1224299669265747,6692.8486328125
2019-10-04,1.1243900060653687,6653.62158203125
2019-10-05,0.0,6608.4296875
2019-10-06,0.0,6476.68505859375
2019-10-07,1.1228300333023071,6710.4609375
2019-10-08,1.119860053062439,6734.47705078125
2019-10-09,1.1145000457763672,7038.19189453125
2019-10-10,1.1116000413894653,6905.32763671875
2019-10-11,1.1290299892425537,6581.05322265625
2019-10-12,0.0,6592.75634765625
2019-10-13,0.0,6594.58837890625
2019-10-14,1.1438000202178955,6640.900390625
2019-10-15,1.143589973449707,6430.80224609375
2019-10-16,1.15625,6277.3203125
2019-10-17,1.1574000120162964,6297.8251953125
2019-10-18,1.1563899517059326,6142.248046875
2019-10-19,0.0,6154.0751953125
2019-10-20,0.0,6373.9111328125
2019-10-21,1.1562600135803223,6355.20849609375
2019-10-22,1.163059949874878,6270.05078125
2019-10-23,1.1575700044631958,5816.51416015625
2019-10-24,1.1604900360107422,5837.41259765625
2019-10-25,1.1561299562454224,6753.77001953125
2019-10-26,0.0,7207.43603515625
2019-10-27,0.0,7446.57421875
2019-10-28,1.157099962234497,7200.35791015625
2019-10-29,1.158270001411438,7328.546875
2019-10-30,1.1575700044631958,7135.30322265625
2019-10-31,1.156730055809021,7109.5771484375
2019-11-01,1.1596699953079224,7156.05517578125
2019-11-02,0.0,7205.00439453125
2019-11-03,0.0,7139.00341796875
2019-11-04,1.1584999561309814,7302.20068359375
2019-11-05,1.1581699848175049,7253.51953125
2019-11-06,1.1627999544143677,7280.43359375
2019-11-07,1.1612999439239502,7228.91064453125
2019-11-08,1.1598000526428223,6892.27587890625
2019-11-09,0.0,6899.08740234375
2019-11-10,0.0,7077.66357421875
2019-11-11,1.1606299877166748,6814.041015625
2019-11-12,1.1647299528121948,6859.3701171875
2019-11-13,1.1669299602508545,6852.99560546875
2019-11-14,1.1673400402069092,6760.41650390625
2019-11-15,1.1687899827957153,6581.15771484375
2019-11-16,0.0,6626.70263671875
2019-11-17,0.0,6639.12158203125
2019-11-18,1.16867995262146,6416.92919921875
2019-11-19,1.169350028038025,6347.5771484375
2019-11-20,1.1669299602508545,6210.1513671875
2019-11-21,1.1664999723434448,5915.92431640625
2019-11-22,1.167389988899231,5684.90966796875
2019-11-23,0.0,5763.771484375
2019-11-24,0.0,5484.75927734375
2019-11-25,1.1657600402832031,5540.7333984375
2019-11-26,1.171180009841919,5612.24755859375
2019-11-27,1.1666699647903442,5824.98876953125
2019-11-28,1.1748499870300293,5779.97412109375
2019-11-29,1.1725000143051147,6003.67138671875
2019-11-30,0.0,5855.44970703125
2019-12-01,0.0,5749.82470703125
2019-12-02,1.1717699766159058,5658.90087890625
2019-12-03,1.1680699586868286,5631.74658203125
2019-12-04,1.172719955444336,5531.85205078125
2019-12-05,1.182770013809204,5660.23681640625
2019-12-06,1.1848100423812866,5745.279296875
2019-12-07,0.0,5752.314453125
2019-12-08,0.0,5756.86767578125
2019-12-09,1.1880300045013428,5630.11572265625
2019-12-10,1.187999963760376,5543.70751953125
2019-12-11,1.183650016784668,5468.0380859375
2019-12-12,1.1855700016021729,5376.0498046875
2019-12-13,1.204509973526001,5452.72119140625
2019-12-14,0.0,5343.9541015625
2019-12-15,0.0,5356.40185546875
2019-12-16,1.200260043144226,5224.677734375
2019-12-17,1.1915600299835205,5060.59716796875
2019-12-18,1.1765899658203125,5561.26025390625
2019-12-19,1.1766999959945679,5532.99462890625
2019-12-20,1.1699999570846558,5551.01708984375
2019-12-21,0.0,5529.7490234375
2019-12-22,0.0,5776.2919921875
2019-12-23,1.1736600399017334,5683.28955078125
2019-12-24,1.1664999723434448,5662.33837890625
2019-12-25,1.1660000085830688,5608.5703125
2019-12-26,1.1689000129699707,5569.68310546875
2019-12-27,1.1708500385284424,5573.46240234375
2019-12-28,0.0,5594.79345703125
2019-12-29,0.0,5669.78564453125
2019-12-30,1.1706600189208984,5561.8203125
2019-12-31,1.170390009880066,5424.69287109375
2020-01-01,1.181399941444397,5433.84912109375
2020-01-02,1.180899977684021,5313.35791015625
2020-01-03,1.1768900156021118,5615.14208984375
2020-01-04,0.0,5665.4248046875
2020-01-05,0.0,5666.796875
2020-01-06,1.1716899871826172,5898.515625
2020-01-07,1.1763499975204468,6225.82763671875
2020-01-08,1.175510048866272,6165.646484375
2020-01-09,1.1791199445724487,6028.27783203125
2020-01-10,1.176200032234192,6250.71337890625
2020-01-11,0.0,6152.1962890625
2020-01-12,0.0,6280.6279296875
2020-01-13,1.17330002784729,6270.76123046875
2020-01-14,1.1662499904632568,6779.11376953125
2020-01-15,1.1701200008392334,6753.8056640625
2020-01-16,1.1691900491714478,6670.84326171875
2020-01-17,1.1741399765014648,6860.3134765625
2020-01-18,0.0,6870.89404296875
2020-01-19,0.0,6693.30908203125
2020-01-20,1.1722999811172485,6657.62353515625
2020-01-21,1.1718000173568726,6704.2529296875
2020-01-22,1.1763999462127686,6604.87060546875
2020-01-23,1.1844199895858765,6407.404296875
2020-01-24,1.1866099834442139,6459.642578125
2020-01-25,0.0,6400.298828125
2020-01-26,0.0,6581.921875
2020-01-27,1.1845300197601318,6823.26416015625
2020-01-28,1.18503999710083,7185.75048828125
2020-01-29,1.1815099716186523,7154.509765625
2020-01-30,1.1820000410079956,7266.92529296875
2020-01-31,1.1862900257110596,7081.26806640625
2020-02-01,0.0,7113.33740234375
2020-02-02,0.0,7089.16796875
